Scout Group Name,Region Code,District Code,Scouts District Name,Kits
5th Gosport Sea Scouts,PO,PO12,Gosport,60
161st Derby (Hilton),DE,DE65,Derby North,30
66th Derby (1st Spondon),DE,DE21,Derby East,30
7th Banbury Scout Group,OX,OX16,North Oxfordshire,30
3rd Heald Green,SK,SK8,Three Brooks District,60
40th Chester (Stags),CH,CH3,Chester And District,30
1st Fyvie Scout Group,AB,AB53,Deveron,30
1st Woodley,RG,RG5,Loddon,50
6th Horwich Scout Group,BL,BL6,Bolton Moorland,60
Irwin Scouts,SG,SG18,Biggleswade,30
2nd Great Parndon,CM,CM19,Harlow,100
18th Bristol 1st Redland Green,BS,BS6,Cabot,150
Wetherby District Explorers,LS,LS2,Wetherby,75
8th Lincoln (1st Wragby),LN,LN8,Lincoln,75
3rd Crofton Park,SE,SE23,Lewisham,50
